TPL_names,invasion.status.2022,bg_num,chklst_prov_num,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,hab_suit_mean,X1,X2,X3,X4,X5,X6,X7,X8,X9,no.NativeRange.level03,lf_short.herb,lf_long.herb,lf_woody,prop_type.seed.v2,prop_type.veg.v2,prop_type.both.v2,max.height.new2023,pd.mean.to_native,pd.min.to_native,pd.wmean.to_native
Euphorbia antiquorum,1,21,15,0,1,1,0,1,0,1,1,1,0,6,0.07,0,0,0,1,0,0,0,0,0,13,0,0,1,1,1,1,10,251.8202842,4.809338006,46.921
Euphorbia heterophylla,1,10,10,1,1,0,1,1,0,1,1,1,1,8,0.286,0,0,0,0,0,0,1,1,0,68,0,1,0,1,0,0,2,251.8198387,20.98808801,46.921
Euphorbia hirta,1,15,9,1,0,0,0,1,0,1,1,1,0,5,0.231,0,0,0,0,0,0,1,1,0,55,0,1,0,1,0,0,0.75,251.8184035,9.799000006,46.92
Euphorbia hypericifolia,1,6,6,0,0,0,0,0,0,0,1,0,0,1,0.187,0,0,0,0,0,0,1,1,0,53,0,0,1,1,1,1,0.7,251.8180094,5.287254006,46.92
Euphorbia hyssopifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.227,0,0,0,0,0,0,1,1,0,53,0,1,0,1,0,0,0.8,251.8182653,9.157758006,46.92
Euphorbia maculata,1,5,6,0,0,0,0,0,0,0,1,1,0,2,0.326,0,0,0,0,0,0,1,1,0,54,1,0,0,1,0,0,0.45,251.8179765,4.868440006,46.92
Euphorbia peplus,1,4,4,1,0,0,0,1,0,0,1,1,0,4,0.199,1,1,1,1,0,0,0,0,0,62,1,0,0,1,0,0,0.4,251.8059869,21.760058,46.918
Euphorbia tirucalli,1,20,14,1,1,1,0,1,1,1,1,1,1,9,0.113,0,1,0,1,0,0,0,0,0,29,0,0,1,1,1,1,10,251.8216337,26.387404,46.921
Ficus religiosa,0,15,12,1,1,1,1,1,0,1,1,0,1,8,0.22,0,0,0,1,0,0,0,0,0,10,0,0,1,1,1,1,30,249.0544379,6.837522,46.342
Fumaria officinalis,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0.199,1,1,1,0,0,0,0,0,0,49,1,0,0,1,1,1,1,263.7588982,14.687756,49.305
Gaura biennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,1,0,0,23,1,0,0,1,0,0,1.8,253.7687882,36.167,47.261
Geranium carolinianum,1,6,5,0,0,0,0,0,0,0,1,0,0,1,0.363,0,0,0,0,0,0,1,0,0,52,1,0,0,1,0,0,0.7,254.0177884,3.745364,47.33
Geranium dissectum,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,1,1,1,0,0,0,0,0,0,57,1,0,0,1,0,0,0.8,254.0202282,14.31321,47.331
Geranium molle,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.203,1,1,1,0,0,0,0,0,0,56,0,1,0,1,1,1,1.8,254.0202282,14.31321,47.331
Geranium pusillum,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.181,1,1,1,1,0,0,0,0,0,54,0,1,0,1,1,1,0.5,254.0249709,24.201042,47.333
Gomphrena globosa,0,23,19,0,1,0,1,1,0,1,1,0,1,6,0.294,0,0,0,0,0,0,1,1,0,16,1,0,0,1,0,0,1.2,251.6972438,37.736921,46.868
Gomphrena serrata,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.186,0,0,0,0,1,0,1,1,0,28,0,1,0,1,0,0,1,251.6972438,37.736921,46.868
Haematoxylum campechianum,0,4,3,0,1,1,0,1,1,1,1,0,0,6,0.126,0,0,0,0,0,0,1,1,0,5,0,0,1,1,1,1,8,249.1096113,94.728907,46.374
Helenium autumnale,1,7,7,0,1,0,0,0,0,0,1,1,0,3,0.267,0,0,0,0,0,0,1,0,0,55,0,1,0,1,1,1,1.8,229.5137601,24.836633,42.828
Helianthus tuberosus,0,14,22,1,0,1,1,1,0,0,1,1,0,6,0.236,0,0,0,0,0,0,1,0,0,50,0,1,0,1,1,1,3,229.5180827,14.044105,42.829
Heliotropium europaeum,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.244,1,1,1,1,0,0,0,0,0,46,0,1,0,1,0,0,0.6,238.6058218,20.1856,44.692
Hibiscus cannabinus,0,0,0,1,1,1,1,1,0,1,1,0,1,8,0.149,0,1,1,0,0,0,0,0,0,39,0,1,0,1,1,1,4.7,251.7557912,6.583444,46.924
Hibiscus trionum,1,9,9,0,1,0,0,1,0,0,1,0,0,3,0.332,1,1,1,1,0,0,0,0,0,32,0,1,0,1,0,0,1.5,251.755868,17.195132,46.924
Hypochaeris glabra,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.187,1,1,1,0,0,0,0,0,0,42,0,1,0,1,0,0,0.6,229.7651038,13.21011,42.897
Hypochaeris radicata,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.214,1,1,1,1,0,0,0,0,0,44,0,1,0,1,0,0,0.83,229.7650578,12.513346,42.897
Impatiens balsamina,0,23,16,0,1,0,1,1,0,1,1,1,0,6,0.269,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,245.5170844,45.575278,46.026
Ipomoea alba,1,5,7,0,1,0,0,1,0,1,1,1,0,5,0.19,0,0,0,0,0,0,1,1,0,41,0,0,1,1,0,0,30,238.5311765,16.42898,44.641
Ipomoea hederifolia,0,2,2,0,1,0,0,0,0,0,1,0,0,2,0.246,0,0,0,0,0,0,1,1,0,44,1,0,0,1,1,1,5,238.5311765,16.42898,44.641
Ipomoea lacunosa,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0.241,0,0,0,0,0,0,1,0,0,21,1,0,0,1,1,1,4.7,238.5313633,19.687664,44.641
Ipomoea quamoclit,1,21,16,0,1,0,0,1,0,1,1,0,1,5,0.273,0,0,0,0,0,0,1,1,0,12,1,0,0,1,0,0,6,238.5311765,16.42898,44.641
Ipomoea triloba,1,5,6,0,0,0,1,0,1,0,1,0,0,3,0.261,0,0,0,0,0,0,1,1,0,31,0,1,0,1,1,1,3,238.5313633,19.687664,44.641
Iris pseudacorus,0,13,15,0,1,0,0,1,0,1,1,1,0,5,0.226,1,1,1,0,0,0,0,0,0,51,0,1,0,1,1,1,1.8,264.720223,12.951348,49.196
Jatropha curcas,0,16,13,1,1,1,1,1,0,1,1,1,0,8,0.158,0,0,0,0,0,0,1,1,0,36,0,0,1,1,1,1,15,251.941468,30.863018,46.946
Jatropha gossypiifolia,0,6,6,0,1,1,0,1,0,1,1,1,1,7,0.12,0,0,0,0,0,0,1,1,0,41,0,0,1,1,0,0,3,251.941468,30.863018,46.946
Justicia adhatoda,0,17,13,0,1,1,0,0,0,1,1,1,0,5,0.316,0,0,1,1,0,0,0,0,0,11,0,0,1,1,1,1,4,231.6738707,33.536145,43.561
Lactuca sativa,0,14,31,1,0,0,1,1,0,0,1,1,0,5,0.316,0,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,1.2,229.7698061,0.831322,42.898
Lamium purpureum,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.208,1,1,1,0,0,0,0,0,0,51,1,0,0,1,1,1,0.45,230.5922083,1.474886,43.381
Lantana camara,1,22,16,1,1,1,1,1,1,1,1,1,1,10,0.237,0,1,0,0,0,0,1,1,0,35,0,0,1,1,1,1,15,232.0615848,30.825617,43.621
Lathyrus latifolius,0,2,4,0,1,0,1,0,0,0,0,1,0,3,0.226,1,1,0,0,0,0,0,0,0,23,0,1,0,1,1,1,3,246.0052299,10.965892,45.765
Lepidium sativum,0,0,2,0,1,1,1,1,0,1,1,1,0,7,0.354,1,1,1,1,0,0,0,0,0,42,1,0,0,1,0,0,1,250.8828528,10.484766,46.68
Lepidium virginicum,1,7,6,0,0,0,0,0,0,0,1,0,0,1,0.33,0,0,0,0,0,0,1,1,0,71,0,1,0,1,0,0,0.9,250.8828528,10.484766,46.68
Linum usitatissimum,0,8,20,1,0,1,0,1,0,1,1,1,0,6,0.275,0,0,1,0,0,0,0,0,0,6,1,0,0,1,1,1,1.2,252.5839808,31.889274,47.062
Lobelia siphilitica,0,2,3,0,1,0,0,0,0,0,1,1,0,3,0.173,0,0,0,0,0,0,1,0,0,40,0,1,0,1,1,1,1.5,238.9951255,24.13546,44.655
Mangifera indica,0,19,13,1,1,1,1,1,0,1,1,1,1,9,0.174,0,0,0,1,0,0,0,1,0,5,0,0,1,1,1,1,45,252.6567486,20.591669,47.055
Martynia annua,1,2,2,0,1,0,0,0,0,1,1,0,0,3,0.189,0,0,0,0,0,0,1,1,0,20,0,1,0,1,1,1,2.5,231.9922794,87.699153,43.611
Medicago polymorpha,1,6,10,1,1,0,0,1,0,0,1,1,0,5,0.259,1,1,1,1,0,0,0,0,0,51,0,1,0,1,1,1,1.05,246.0264256,11.205908,45.772
Medicago sativa,1,9,23,1,1,1,1,1,1,1,1,1,1,10,0.423,1,1,1,0,0,0,0,0,0,20,0,1,0,1,1,1,1,246.0260753,0.609326,45.772
Melothria pendula,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.235,0,0,0,0,0,0,1,1,0,61,0,1,0,1,0,0,4.7,251.0356938,26.452069,46.833
Mentha aquatica,0,1,2,0,1,0,1,1,0,1,1,0,0,5,0.184,1,1,1,0,0,0,0,0,0,69,0,1,0,0,1,0,1,230.5531459,4.814218,43.372
Mimosa pigra,1,4,3,1,1,1,0,1,0,1,1,0,1,7,0.108,0,1,0,0,0,0,1,1,0,74,0,0,1,1,1,1,9,249.0431557,48.335187,46.36
Mimosa pudica,1,23,17,1,1,0,0,1,0,0,1,0,0,4,0.177,0,0,0,0,0,0,1,1,0,33,0,0,1,1,1,1,20,249.0431547,48.335186,46.36
Mirabilis jalapa,1,24,19,0,1,0,0,1,0,1,1,1,1,6,0.278,0,0,0,0,0,0,1,1,0,11,0,0,1,1,1,1,2,252.6327839,11.798599,47.078
Momordica charantia,0,16,23,0,1,0,1,1,0,1,1,1,0,6,0.191,0,1,0,1,1,1,0,0,0,67,0,1,0,1,0,0,8,251.0537515,14.35009,46.837
Monarda fistulosa,0,5,6,0,1,0,0,0,0,0,1,0,0,2,0.18,0,0,0,0,0,0,1,0,0,51,0,0,1,1,1,1,1.5,230.5517397,0.006331,43.372
Muntingia calabura,0,6,6,0,1,1,0,1,0,1,1,0,0,5,0.106,0,0,0,0,0,0,1,1,0,20,0,0,1,1,1,1,15,252.2669026,122.876319,47.013
Nymphaea alba,0,12,9,0,1,0,0,0,0,0,1,0,0,2,0.125,1,1,1,1,0,0,0,0,0,45,0,1,0,1,1,1,2.5,280.9826587,0.992678,52.342
Ocimum basilicum,0,16,13,1,1,0,1,1,0,1,1,1,1,8,0.271,0,0,0,1,1,0,0,0,0,26,0,0,1,1,1,1,9,230.6076193,14.442427,43.383
Ocimum gratissimum,0,12,12,1,1,0,0,1,1,1,1,1,1,8,0.123,0,1,1,1,0,0,0,0,0,56,0,0,1,1,1,1,3,230.6076183,14.442426,43.383
Ocimum tenuiflorum,0,2,3,0,0,0,0,1,0,1,1,1,1,5,0.204,0,0,0,1,1,1,0,0,0,32,0,0,1,1,1,1,1,230.6076193,14.442427,43.383
Oenothera biennis,1,5,10,0,1,0,0,0,0,0,1,0,0,2,0.253,0,0,0,0,0,0,1,0,0,10,0,1,0,1,1,1,2.4,253.7687892,36.167001,47.261
Oenothera parviflora,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0,0,1,0,0,7,0,1,0,1,1,1,2,253.7687882,36.167,47.261
